anio,mes,conglomerado,muestra,selviv,hogar,region,llave_panel,estrato,condicion_ocupacion,ingreso_total,sexo,edad,nivel_educativo_cod,anios_educacion
2024,12,17884,1,128,1,1,202309178841012811,1.0,Desocupado,,2,69,12,2
2024,12,18575,1,82,1,1,202309185751008211,1.0,Ocupado,1310.0,2,73,5,1
2024,12,1761701,1,11,1,1,20231217617011001111,1.0,Ocupado,173.0,2,43,6,5
2024,12,1761701,1,11,1,1,20231217617011001112,1.0,Ocupado,1700.0,1,44,6,5
2024,12,1761701,1,11,1,1,20231217617011001113,1.0,Ocupado,1025.0,1,20,6,5
2024,12,1761701,1,11,1,1,20231217617011001114,1.0,Ocupado,,2,7,,5
2024,12,1761701,1,11,2,1,20231217617011001121,1.0,Ocupado,1900.0,1,22,6,5
2024,12,1761701,1,11,2,1,20231217617011001122,1.0,Ocupado,138.0,2,21,6,5
2024,12,1761701,1,11,2,1,20231217617011001123,1.0,Ocupado,,2,1,,5
2024,12,1828802,1,39,1,1,20241218288021003911,1.0,Desocupado,,2,79,1,5
2024,12,1828802,1,39,1,1,20241218288021003912,1.0,Desocupado,,2,18,10,1
2024,12,17826,1,50,1,1,202412178261005011,1.0,Ocupado,1286.0,2,75,5,3
2024,12,2485901,1,56,1,1,20241224859011005611,1.0,Desocupado,,1,28,12,2
2024,12,2485901,1,56,1,1,20241224859011005612,1.0,Ocupado,1025.0,2,20,10,4
2024,12,27575,1,78,1,1,202412275751007811,1.0,Ocupado,4893.0,1,50,6,5
2024,12,27575,1,78,1,1,202412275751007812,1.0,Desocupado,,2,43,5,3
2024,12,27575,1,78,1,1,202412275751007813,1.0,Desocupado,,1,17,6,5
2024,12,27575,1,78,1,1,202412275751007814,1.0,Ocupado,,1,5,,5
2024,12,20457,1,19,1,1,202412204571001911,1.0,Ocupado,1000.0,1,69,4,5
2024,12,20457,1,19,1,1,202412204571001912,1.0,Desocupado,,2,71,4,5
2024,12,47957,1,114,1,1,202412479571011411,1.0,Ocupado,3401.0,1,44,9,3
2024,12,47957,1,114,1,1,202412479571011412,1.0,Desocupado,,2,38,8,1
2024,12,47957,1,114,1,1,202412479571011413,1.0,Desocupado,,1,14,5,1
2024,12,47957,1,114,1,1,202412479571011414,1.0,Ocupado,,1,12,,5
2024,12,47957,1,114,1,1,202412479571011415,1.0,Ocupado,,1,,,5
2024,12,49756,1,78,1,1,202412497561007811,1.0,Ocupado,1150.0,1,29,6,5
2024,12,49756,1,78,1,1,202412497561007812,1.0,Ocupado,1025.0,2,25,6,5
2024,12,27101,1,34,1,1,202412271011003411,1.0,Ocupado,3500.0,1,44,12,2
2024,12,27101,1,34,1,1,202412271011003412,1.0,Desocupado,,2,45,9,3
2024,12,27101,1,34,1,1,202412271011003413,1.0,Desocupado,,2,16,5,4
2024,12,27101,1,34,1,1,202412271011003414,1.0,Desocupado,,2,14,5,1
2024,12,18180,1,57,1,1,202409181801005711,1.0,Ocupado,1154.0,2,59,6,5
2024,12,47249,1,14,1,1,202309472491001411,1.0,Ocupado,2100.0,1,51,6,5
2024,12,47249,1,14,1,1,202309472491001412,1.0,Desocupado,,2,49,6,5
2024,12,47249,1,14,1,1,202309472491001413,1.0,Desocupado,,1,16,5,3
2024,12,47249,1,14,1,1,202309472491001414,1.0,Ocupado,1835.0,1,13,,5
2024,12,47249,1,14,1,1,202309472491001415,1.0,Ocupado,,1,9,,5
2024,12,17890,1,119,1,1,202409178901011911,1.0,Desocupado,,2,62,11,5
2024,12,17890,1,119,1,1,202412178901011912,1.0,Desocupado,,1,66,11,5
2024,12,1749401,1,50,1,1,20240917494011005011,1.0,Ocupado,270.0,2,37,6,5
2024,12,1749401,1,50,1,1,20240917494011005012,1.0,Desocupado,,1,17,5,4
2024,12,1764101,1,14,1,1,20240917641011001411,1.0,Ocupado,2100.0,1,41,6,5
2024,12,1764101,1,14,1,1,20240917641011001412,1.0,Desocupado,,2,41,6,5
2024,12,1764101,1,14,1,1,20240917641011001413,1.0,Ocupado,1200.0,1,22,8,1
2024,12,1764101,1,14,1,1,20240917641011001414,1.0,Desocupado,,2,19,6,5
2024,12,1764101,1,14,1,1,20240917641011001415,1.0,Desocupado,,1,17,5,4
2024,12,1764101,1,14,1,1,20240917641011001416,1.0,Ocupado,,1,11,,5
2024,12,1764101,1,14,1,1,20240917641011001417,1.0,Ocupado,,2,8,,5
2024,12,17394,1,14,1,1,202309173941001411,1.0,Ocupado,2382.0,1,41,6,5
2024,12,17394,1,14,1,1,202309173941001412,1.0,Ocupado,1300.0,2,41,,5
2024,12,17394,1,14,1,1,202309173941001413,1.0,Ocupado,1200.0,1,21,6,5
2024,12,17394,1,14,1,1,202309173941001414,1.0,Ocupado,,2,2,,5
2024,12,17394,1,14,1,1,202309173941001415,1.0,Ocupado,840.0,1,77,6,5
2024,12,23790,1,52,1,1,202409237901005211,1.0,Desocupado,,2,34,6,5
2024,12,23790,1,52,1,1,202409237901005212,1.0,Ocupado,5900.0,1,38,11,5
2024,12,23790,1,52,1,1,202409237901005213,1.0,Ocupado,,2,4,,5
2024,12,2396302,1,21,1,1,20240923963021002111,1.0,Ocupado,478.0,1,49,6,5
2024,12,2396302,1,21,1,1,20240923963021002112,1.0,Ocupado,512.0,2,22,10,2
2024,12,2396302,1,21,1,1,20240923963021002113,1.0,Ocupado,150.0,1,72,4,5
2024,12,47117,1,16,1,1,202409471171001611,1.0,Desocupado,,2,74,9,5
2024,12,27608,1,86,1,1,202409276081008611,1.0,Desocupado,,1,69,5,1
2024,12,27608,1,86,1,1,202409276081008614,1.0,Ocupado,1835.0,1,37,,5
2024,12,27608,1,86,1,1,202409276081008613,1.0,Ocupado,1380.0,1,35,8,1
2024,12,20727,1,128,1,1,202309207271012811,1.0,Ocupado,628.0,2,54,4,5
2024,12,20727,1,128,1,1,202309207271012812,1.0,Ocupado,1500.0,1,56,6,5
2024,12,20727,1,128,1,1,202309207271012813,1.0,Ocupado,1050.0,2,20,8,2
2024,12,20727,1,128,1,1,202309207271012814,1.0,Desocupado,,1,15,5,2
2024,12,20727,1,128,1,1,202309207271012815,1.0,Ocupado,,1,12,,5
2024,12,24621,1,6,1,1,202309246211000611,1.0,Ocupado,822.0,1,55,6,5
2024,12,25302,1,44,1,1,202409253021004411,1.0,Ocupado,3250.0,1,64,11,5
2024,12,25302,1,44,1,1,202409253021004412,1.0,Ocupado,1025.0,2,53,8,1
2024,12,25302,1,44,1,1,202409253021004413,1.0,Ocupado,1673.0,1,24,10,4
2024,12,49999,1,182,1,1,202312499991018211,1.0,Ocupado,1732.0,1,32,6,5
2024,12,49999,1,182,1,1,202312499991018212,1.0,Desocupado,,2,35,8,2
2024,12,49999,1,182,1,1,202312499991018213,1.0,Ocupado,,2,11,,5
2024,12,49999,1,182,1,1,202312499991018214,1.0,Ocupado,,1,6,,5
2024,12,49999,1,182,1,1,202312499991018215,1.0,Ocupado,,1,1,,5
2024,12,21750,1,47,1,1,202312217501004711,1.0,Desocupado,,2,36,6,5
2024,12,21750,1,47,1,1,202312217501004712,1.0,Ocupado,4000.0,1,40,11,5
2024,12,21750,1,47,1,1,202312217501004713,1.0,Ocupado,,1,10,,5
2024,12,21750,1,47,1,1,202312217501004714,1.0,Ocupado,,2,2,,5
2024,12,2178402,1,11,1,1,20230921784021001111,1.0,Ocupado,1400.0,2,57,3,3
2024,12,2178402,1,11,1,1,20230921784021001114,1.0,Desocupado,,1,16,5,3
2024,12,22302,1,40,1,1,202412223021004011,1.0,Ocupado,1897.0,2,52,6,5
2024,12,22302,1,40,1,1,202412223021004012,1.0,Ocupado,4114.0,1,46,6,5
2024,12,22302,1,40,1,1,202412223021004013,1.0,Ocupado,1835.0,1,25,,5
2024,12,2297801,1,42,1,1,20231222978011004211,1.0,Ocupado,1500.0,1,48,8,2
2024,12,2297801,1,42,1,1,20231222978011004213,1.0,Ocupado,,2,12,,5
2024,12,2297801,1,42,1,1,20231222978011004214,1.0,Ocupado,,2,11,,5
2024,12,2297801,1,42,1,1,20231222978011004215,1.0,Ocupado,,2,7,,5
2024,12,2297801,1,42,1,1,20231222978011004212,1.0,Ocupado,2143.0,2,37,6,5
2024,12,1828802,1,37,1,1,20241218288021003711,1.0,Ocupado,2597.0,1,55,6,5
2024,12,1828802,1,37,1,1,20241218288021003712,1.0,Ocupado,1065.0,2,50,6,5
2024,12,17826,1,47,1,1,202412178261004711,1.0,Ocupado,2400.0,1,54,6,5
2024,12,17826,1,47,1,1,202412178261004712,1.0,Desocupado,,2,44,6,5
2024,12,17826,1,47,1,1,202412178261004713,1.0,Desocupado,,1,24,10,3
2024,12,17826,1,47,1,1,202412178261004714,1.0,Ocupado,,1,12,,5
2024,12,2485901,1,55,1,1,20241224859011005511,1.0,Ocupado,3400.0,2,61,11,5
2024,12,2485901,1,55,1,1,20241224859011005512,1.0,Ocupado,1325.0,1,30,9,3
2024,12,27575,1,77,1,1,202412275751007711,1.0,Ocupado,4850.0,1,63,11,6
2024,12,27575,1,77,1,1,202412275751007712,1.0,Ocupado,3040.0,2,62,9,3
2024,12,27575,1,77,1,1,202412275751007713,1.0,Desocupado,,1,22,10,2
2024,12,20590,1,216,1,1,202412205901021611,1.0,Ocupado,597.0,2,65,6,5
2024,12,47957,1,23,1,1,202412479571002311,1.0,Desocupado,,2,45,9,3
2024,12,47957,1,23,1,1,202412479571002312,1.0,Ocupado,1025.0,1,45,6,5
2024,12,47957,1,23,1,1,202412479571002313,1.0,Desocupado,,1,15,5,3
2024,12,47957,1,23,1,1,202412479571002314,1.0,Ocupado,,2,9,,5
2024,12,22595,1,142,1,1,202412225951014211,1.0,Ocupado,2198.0,1,43,6,5
2024,12,22595,1,142,1,1,202412225951014212,1.0,Ocupado,1510.0,2,43,9,5
2024,12,22595,1,142,1,1,202412225951014213,1.0,Ocupado,1025.0,1,19,10,2
2024,12,22595,1,142,1,1,202412225951014214,1.0,Desocupado,,2,14,5,1
2024,12,22595,1,142,1,1,202412225951014215,1.0,Desocupado,,1,77,6,5
2024,12,2438002,1,59,1,1,20241224380021005911,1.0,Desocupado,,1,81,3,1
2024,12,18180,1,56,1,1,202409181801005611,1.0,Ocupado,260.0,2,52,3,5
2024,12,17884,1,131,1,1,202309178841013111,1.0,Desocupado,,1,78,6,5
2024,12,17884,1,131,1,1,202309178841013112,1.0,Ocupado,1339.0,2,76,6,5
2024,12,17884,1,131,1,1,202309178841013113,1.0,Desocupado,,1,22,10,2
2024,12,17816,1,14,1,1,202312178161001411,1.0,Ocupado,1432.0,1,50,6,5
2024,12,17816,1,14,1,1,202312178161001412,1.0,Ocupado,860.0,2,34,9,3
2024,12,17816,1,14,1,1,202312178161001414,1.0,Ocupado,,1,8,,5
2024,12,17816,1,14,1,1,202312178161001415,1.0,Ocupado,,2,1,,5
2024,12,17816,1,14,1,1,202312178161001413,1.0,Desocupado,,1,94,9,3
2024,12,1855601,1,17,1,1,20241218556011001711,1.0,Ocupado,1400.0,2,41,9,3
2024,12,1855601,1,17,1,1,20241218556011001712,1.0,Ocupado,,1,11,,5
2024,12,47018,1,65,1,1,202412470181006511,1.0,Ocupado,1039.0,2,53,8,2
2024,12,47018,1,65,1,1,202412470181006512,1.0,Ocupado,152.0,1,26,6,5
2024,12,47018,1,65,1,1,202412470181006513,1.0,Ocupado,390.0,2,24,10,1
2024,12,47018,1,65,1,1,202412470181006514,1.0,Ocupado,,1,2,,5
2024,12,21027,1,45,1,1,202412210271004511,1.0,Ocupado,907.0,2,43,6,5
2024,12,21027,1,45,1,1,202412210271004512,1.0,Ocupado,2400.0,2,24,6,5
2024,12,21027,1,45,1,1,202412210271004513,1.0,Ocupado,,2,9,,5
2024,12,21027,1,45,1,1,202412210271004514,1.0,Ocupado,,1,6,,5
2024,12,2531802,1,56,1,1,20241225318021005611,1.0,Ocupado,3042.0,1,49,10,3
2024,12,2531802,1,56,1,1,20241225318021005612,1.0,Ocupado,5000.0,2,47,12,2
2024,12,2531802,1,56,1,1,20241225318021005613,1.0,Ocupado,,2,7,,5
2024,12,2531802,1,56,1,1,20241225318021005614,1.0,Ocupado,,2,3,,5
2024,12,2250702,1,44,1,1,20241222507021004411,1.0,Ocupado,3800.0,2,39,6,5
2024,12,2250702,1,44,1,1,20241222507021004412,1.0,Desocupado,,2,19,10,2
2024,12,2438002,1,57,1,1,20241224380021005711,1.0,Ocupado,1602.0,2,41,5,3
2024,12,2438002,1,57,1,1,20241224380021005712,1.0,Ocupado,640.0,1,22,9,3
2024,12,2438002,1,57,1,1,20241224380021005713,1.0,Desocupado,,2,18,6,5
2024,12,2438002,1,57,1,1,20241224380021005714,1.0,Ocupado,,1,8,,5
2024,12,26830,1,54,1,1,202412268301005411,1.0,Ocupado,4200.0,2,40,11,5
2024,12,1812201,1,32,1,1,20240918122011003211,1.0,Ocupado,2680.0,2,66,9,3
2024,12,1812201,1,32,1,1,20240918122011003213,1.0,Desocupado,,2,44,10,4
2024,12,17884,1,129,1,1,202309178841012911,1.0,Ocupado,2500.0,1,48,9,3
2024,12,17884,1,129,1,1,202309178841012912,1.0,Ocupado,3500.0,2,46,11,5
2024,12,17884,1,129,1,1,202309178841012913,1.0,Ocupado,1350.0,1,23,11,5
2024,12,17884,1,129,1,1,202309178841012914,1.0,Desocupado,,2,18,10,1
2024,12,17816,1,10,1,1,202412178161001011,1.0,Ocupado,1809.0,2,23,10,2
2024,12,17816,1,10,1,1,202412178161001012,1.0,Ocupado,,1,3,,5
2024,12,18575,1,83,1,1,202309185751008311,1.0,Desocupado,,2,80,5,3
2024,12,18575,1,83,1,1,202309185751008312,1.0,Ocupado,4583.0,1,49,11,5
2024,12,1761701,1,9,1,1,20231217617011000912,1.0,Ocupado,1918.0,2,34,6,5
2024,12,1761701,1,9,1,1,20231217617011000913,1.0,Desocupado,,2,16,5,4
2024,12,1761701,1,9,1,1,20231217617011000914,1.0,Ocupado,,1,9,,5
2024,12,24818,1,14,1,1,202312248181001411,1.0,Desocupado,,1,74,8,2
2024,12,24858,1,47,1,1,202309248581004711,1.0,Desocupado,,1,79,11,5
2024,12,24858,1,47,1,1,202409248581004712,1.0,Ocupado,8000.0,2,29,12,2
2024,12,23910,1,113,1,1,202309239101011311,1.0,Ocupado,2652.0,2,40,12,2
2024,12,23910,1,113,1,1,202309239101011312,1.0,Ocupado,,2,12,,5
2024,12,4705201,1,11,1,1,20231247052011001111,1.0,Ocupado,2165.0,1,70,6,5
2024,12,4705201,1,11,1,1,20231247052011001112,1.0,Desocupado,,2,64,6,5
2024,12,49555,1,9,1,1,202309495551000911,1.0,Ocupado,1796.0,1,34,11,5
2024,12,49555,1,9,1,1,202309495551000912,1.0,Ocupado,1299.0,1,68,9,3
2024,12,49555,1,9,1,1,202309495551000913,1.0,Ocupado,1039.0,2,69,9,3
2024,12,49555,1,9,1,1,202412495551000914,1.0,Ocupado,1300.0,2,54,,5
2024,12,27770,1,155,1,1,202309277701015511,1.0,Desocupado,,1,83,4,5
2024,12,20911,1,87,1,1,202403209111008711,1.0,Ocupado,60.0,2,34,6,5
2024,12,20911,1,87,1,1,202403209111008712,1.0,Ocupado,1960.0,1,30,6,5
2024,12,20911,1,87,1,1,202403209111008713,1.0,Desocupado,,1,16,5,3
2024,12,20911,1,87,1,1,202403209111008714,1.0,Ocupado,1300.0,2,13,,5
2024,12,20911,1,87,1,1,202403209111008715,1.0,Ocupado,,1,6,,5
2024,12,20580,1,103,1,1,202309205801010311,1.0,Ocupado,1050.0,2,82,4,5
2024,12,20580,1,103,1,1,202309205801010312,1.0,Ocupado,1000.0,1,36,10,2
2024,12,20580,1,103,1,1,202309205801010313,1.0,Ocupado,2000.0,1,36,6,5
2024,12,20580,1,103,1,1,202309205801010314,1.0,Ocupado,,2,8,,5
2024,12,20580,1,103,1,1,202309205801010315,1.0,Ocupado,,1,7,,5
2024,12,20580,1,103,1,1,202309205801010316,1.0,Ocupado,2250.0,2,36,9,3
2024,12,20580,1,103,1,1,202309205801010317,1.0,Ocupado,,1,8,,5
2024,12,2667201,1,4,1,1,20230926672011000411,1.0,Ocupado,3000.0,1,60,11,5
2024,12,21726,1,32,1,1,202312217261003211,1.0,Desocupado,,2,70,6,5
2024,12,21726,1,32,1,1,202312217261003212,1.0,Desocupado,,2,47,6,5
2024,12,21726,1,32,1,1,202312217261003214,1.0,Ocupado,1300.0,2,34,9,3
2024,12,2636101,1,18,1,1,20231226361011001811,1.0,Desocupado,,2,87,9,3
2024,12,2221902,1,10,1,1,20240922219021001011,1.0,Ocupado,2420.0,1,35,6,5
2024,12,2221902,1,10,1,1,20240922219021001012,1.0,Ocupado,1299.0,2,36,5,1
2024,12,2221902,1,10,1,1,20240922219021001013,1.0,Ocupado,,1,9,,5
2024,12,22521,1,91,1,1,202409225211009111,1.0,Ocupado,2200.0,1,65,6,5
2024,12,22521,1,91,1,1,202409225211009112,1.0,Ocupado,1260.0,2,60,8,1
2024,12,22521,1,91,1,1,202409225211009113,1.0,Desocupado,,1,20,8,2
2024,12,22521,1,91,1,1,202409225211009114,1.0,Ocupado,3000.0,1,25,10,3
2024,12,47492,1,28,1,1,202312474921002811,1.0,Ocupado,1025.0,1,42,6,5
2024,12,47492,1,28,1,1,202312474921002812,1.0,Ocupado,490.0,2,39,8,1
2024,12,47492,1,28,1,1,202312474921002813,1.0,Ocupado,,1,7,,5
2024,12,47492,1,28,1,1,202312474921002814,1.0,Ocupado,,2,2,,5
2024,12,17908,1,14,1,1,202412179081001411,1.0,Ocupado,3000.0,1,57,6,5
2024,12,17908,1,14,1,1,202412179081001412,1.0,Ocupado,1300.0,2,65,6,5
2024,12,17908,1,14,1,1,202412179081001413,1.0,Ocupado,2320.0,1,37,9,3
2024,12,17908,1,14,1,1,202412179081001414,1.0,Ocupado,3023.0,2,32,9,3
2024,12,1855601,1,15,1,1,20241218556011001511,1.0,Ocupado,1600.0,1,54,9,3
2024,12,1855601,1,15,1,1,20241218556011001512,1.0,Ocupado,1600.0,2,48,9,3
2024,12,1855601,1,15,1,1,20241218556011001513,1.0,Ocupado,1835.0,1,13,,5
2024,12,17721,1,57,1,1,202412177211005711,1.0,Ocupado,2165.0,1,41,8,1
2024,12,17721,1,57,1,1,202412177211005712,1.0,Ocupado,1300.0,2,28,,5
2024,12,17721,1,57,1,1,202412177211005713,1.0,Ocupado,,2,8,,5
2024,12,17721,1,57,1,1,202412177211005714,1.0,Ocupado,,2,5,,5
2024,12,2407201,1,42,1,1,20241224072011004211,1.0,Desocupado,,2,39,9,3
2024,12,2407201,1,42,1,1,20241224072011004212,1.0,Ocupado,1400.0,1,40,6,5
2024,12,2407201,1,42,1,1,20241224072011004213,1.0,Ocupado,,1,8,,5
2024,12,2407201,1,42,1,1,20241224072011004214,1.0,Ocupado,,2,5,,5
2024,12,21027,1,43,1,1,202412210271004311,1.0,Ocupado,7700.0,1,52,11,5
2024,12,21027,1,43,1,1,202412210271004312,1.0,Ocupado,3500.0,2,50,11,5
2024,12,21027,1,43,1,1,202412210271004313,1.0,Desocupado,,1,18,6,5
2024,12,21027,1,43,1,1,202412210271004314,1.0,Ocupado,,2,12,,5
2024,12,21027,1,43,1,1,202412210271004315,1.0,Ocupado,,1,10,,5
2024,12,21027,1,43,1,1,202412210271004316,1.0,Desocupado,,2,73,5,3
2024,12,20590,1,81,1,1,202412205901008111,1.0,Ocupado,1200.0,1,44,6,5
2024,12,20590,1,81,1,1,202412205901008112,1.0,Ocupado,1100.0,2,43,5,4
2024,12,20590,1,81,1,1,202412205901008113,1.0,Ocupado,,2,11,,5
2024,12,20590,1,81,1,1,202412205901008114,1.0,Ocupado,,1,7,,5
2024,12,20590,1,81,1,1,202412205901008115,1.0,Ocupado,,2,6,,5
2024,12,29774,1,71,1,1,202412297741007111,1.0,Ocupado,1039.0,2,53,4,5
2024,12,29774,1,71,1,1,202412297741007112,1.0,Ocupado,1050.0,1,24,6,5
2024,12,29774,1,71,1,1,202412297741007113,1.0,Desocupado,,1,17,5,4
2024,12,29774,1,71,1,1,202412297741007114,1.0,Ocupado,1500.0,1,34,6,5
2024,12,29774,1,71,1,1,202412297741007115,1.0,Desocupado,,1,92,4,5
2024,12,29774,1,71,1,1,202412297741007116,1.0,Desocupado,,1,94,6,5
2024,12,26490,1,229,1,1,202412264901022911,1.0,Ocupado,6000.0,1,44,12,2
2024,12,26490,1,229,1,1,202412264901022912,1.0,Ocupado,2350.0,2,43,11,5
2024,12,26490,1,229,1,1,202412264901022913,1.0,Ocupado,,2,7,,5
2024,12,2819701,1,119,1,1,20241228197011011911,1.0,Desocupado,,2,68,4,5
2024,12,2819701,1,119,1,1,20241228197011011912,1.0,Desocupado,,1,66,6,5
2024,12,2819701,1,119,1,1,20241228197011011913,1.0,Ocupado,1300.0,2,34,11,5
2024,12,26830,1,49,1,1,202412268301004911,1.0,Ocupado,2879.0,1,51,5,4
2024,12,26830,1,49,1,1,202412268301004912,1.0,Desocupado,,2,41,3,5
2024,12,26830,1,49,1,1,202412268301004913,1.0,Ocupado,2179.0,2,23,6,5
2024,12,26830,1,49,1,1,202412268301004915,1.0,Ocupado,520.0,2,16,5,4
2024,12,26830,1,49,1,1,202412268301004916,1.0,Ocupado,1479.0,1,32,5,4
2024,12,26830,1,49,1,1,202412268301004917,1.0,Ocupado,,2,11,,5
2024,12,1811901,1,28,1,1,20241218119011002811,1.0,Desocupado,,2,61,11,5
2024,12,1811901,1,28,1,1,20241218119011002812,1.0,Ocupado,2500.0,2,24,11,5
2024,12,1811901,1,28,1,1,20240918119011002811,1.0,Desocupado,,1,19,10,1
2024,12,18456,1,60,1,1,202309184561006011,1.0,Desocupado,,1,54,5,3
2024,12,47249,1,17,1,1,202309472491001711,1.0,Ocupado,1025.0,2,42,6,5
2024,12,47249,1,17,1,1,202309472491001712,1.0,Desocupado,,1,14,7,5
2024,12,47249,1,17,1,1,202309472491001713,1.0,Ocupado,,2,11,,5
2024,12,47249,1,17,1,1,202412472491001714,1.0,Ocupado,1300.0,2,61,,5
2024,12,47249,1,17,1,1,202412472491001715,1.0,Ocupado,1835.0,1,38,,5
2024,12,47249,1,17,1,1,202412472491001716,1.0,Ocupado,1300.0,2,26,,5
2024,12,17890,1,122,1,1,202409178901012211,1.0,Desocupado,,1,32,11,5
2024,12,1749401,1,56,1,1,20241217494011005611,1.0,Ocupado,736.0,1,67,5,2
2024,12,17908,1,11,1,1,202412179081001111,1.0,Ocupado,500.0,1,72,5,3
2024,12,17908,1,11,1,1,202412179081001112,1.0,Desocupado,,2,73,5,3
2024,12,17908,1,11,1,1,202412179081001113,1.0,Ocupado,1350.0,1,24,6,5
2024,12,17721,1,54,1,1,202412177211005411,1.0,Desocupado,,2,62,3,3
2024,12,17721,1,54,1,1,202412177211005412,1.0,Desocupado,,1,28,5,2
2024,12,2485901,1,58,1,1,20241224859011005811,1.0,Ocupado,8173.0,2,56,12,2
2024,12,2485901,1,58,1,1,20241224859011005812,1.0,Ocupado,1835.0,1,53,,5
2024,12,20457,1,20,1,1,202412204571002011,1.0,Ocupado,1500.0,1,65,6,5
2024,12,29774,1,68,1,1,202412297741006811,1.0,Ocupado,519.0,2,22,6,5
2024,12,29774,1,68,1,1,202412297741006812,1.0,Ocupado,480.0,1,53,3,1
2024,12,29774,1,68,1,1,202412297741006813,1.0,Ocupado,,2,4,,5
2024,12,1923301,1,6,1,1,20241219233011000611,1.0,Ocupado,3318.0,2,41,5,3
2024,12,1923301,1,6,1,1,20241219233011000612,1.0,Desocupado,,1,14,5,1
2024,12,1923301,1,6,1,1,20241219233011000613,1.0,Ocupado,,1,9,,5
2024,12,1923301,1,6,1,1,20241219233011000614,1.0,Ocupado,,2,6,,5
2024,12,49756,1,79,1,1,202412497561007911,1.0,Desocupado,,1,62,3,4
2024,12,27101,1,37,1,1,202412271011003711,1.0,Desocupado,,1,44,12,2
2024,12,27101,1,37,1,1,202412271011003712,1.0,Desocupado,,2,37,11,5
2024,12,27101,1,37,1,1,202412271011003713,1.0,Ocupado,,2,,,5
2024,12,18180,1,58,1,1,202409181801005811,1.0,Ocupado,1800.0,1,38,6,5
2024,12,18180,1,58,1,1,202409181801005812,1.0,Ocupado,170.0,2,35,6,5
2024,12,18180,1,58,1,1,202409181801005813,1.0,Desocupado,,1,18,6,5
2024,12,18180,1,58,1,1,202409181801005814,1.0,Ocupado,,2,10,,5
2024,12,47249,1,15,1,1,202309472491001511,1.0,Ocupado,227.0,1,43,5,1
2024,12,47249,1,15,1,1,202309472491001512,1.0,Ocupado,488.0,2,42,8,2
2024,12,47249,1,15,1,1,202309472491001513,1.0,Ocupado,1300.0,2,19,8,1
2024,12,47249,1,15,1,1,202309472491001514,1.0,Ocupado,1835.0,1,13,,5
2024,12,47249,1,15,1,1,202309472491001515,1.0,Ocupado,,1,6,,5
2024,12,17890,1,120,1,1,202409178901012011,1.0,Ocupado,70.0,1,34,11,6
2024,12,17890,1,120,1,1,202409178901012012,1.0,Ocupado,4200.0,2,34,11,6
2024,12,17890,1,120,1,1,202409178901012013,1.0,Ocupado,,1,10,,5
2024,12,18550,1,19,1,1,202409185501001911,1.0,Desocupado,,2,88,4,5
2024,12,18550,1,19,1,1,202412185501001912,1.0,Ocupado,2181.0,1,54,6,5
2024,12,18550,1,19,1,1,202412185501001913,1.0,Ocupado,3000.0,2,59,9,3
